Start Timestamp,Start Date,Start Time,End Timestamp,End Date,End Time,Description,Type,Location,Subject
2022-07-17T18:00:00Z,07/17/22,20:00:00,2022-07-17T21:30:00Z,07/17/22,23:30:00,https://tickets.kinoamdach.at/at/summer-of-soul-17-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Summer of Soul
2022-07-18T18:00:00Z,07/18/22,20:00:00,2022-07-18T21:30:00Z,07/18/22,23:30:00,https://tickets.kinoamdach.at/at/ninjababy-presented-by-falter-18-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Ninjababy
2022-07-19T18:00:00Z,07/19/22,20:00:00,2022-07-19T21:30:00Z,07/19/22,23:30:00,https://tickets.kinoamdach.at/at/the-innocents-presented-by-slash-filmfestival-19-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Innocents
2022-07-20T18:00:00Z,07/20/22,20:00:00,2022-07-20T21:30:00Z,07/20/22,23:30:00,https://tickets.kinoamdach.at/at/luzifer-20-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Luzifer
2022-07-21T18:00:00Z,07/21/22,20:00:00,2022-07-21T21:30:00Z,07/21/22,23:30:00,https://tickets.kinoamdach.at/at/girls-cant-surf-presented-by-surf-film-nacht-21-07-2022-4,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Girls Can't Surf
2022-07-22T18:00:00Z,07/22/22,20:00:00,2022-07-22T21:30:00Z,07/22/22,23:30:00,https://tickets.kinoamdach.at/at/the-batman-22-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Batman
2022-07-23T18:00:00Z,07/23/22,20:00:00,2022-07-23T21:30:00Z,07/23/22,23:30:00,https://tickets.kinoamdach.at/at/luzifer-20-07-2022-3,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Dune
2022-07-24T18:00:00Z,07/24/22,20:00:00,2022-07-24T21:30:00Z,07/24/22,23:30:00,https://tickets.kinoamdach.at/at/west-side-story-presented-by-radio-wien-24-07-2022-2,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",West Side Story
2022-07-25T18:00:00Z,07/25/22,20:00:00,2022-07-25T21:30:00Z,07/25/22,23:30:00,https://tickets.kinoamdach.at/at/drive-my-car-presented-by-falter-25-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Drive my Car
2022-07-26T18:00:00Z,07/26/22,20:00:00,2022-07-26T21:30:00Z,07/26/22,23:30:00,https://tickets.kinoamdach.at/at/the-worst-person-in-the-world-26-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Der Schlimmste Mensch der Welt
2022-07-27T18:00:00Z,07/27/22,20:00:00,2022-07-27T21:30:00Z,07/27/22,23:30:00,https://tickets.kinoamdach.at/at/the-worst-person-in-the-world-26-07-2022-2,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Black Phone
2022-07-28T18:00:00Z,07/28/22,20:00:00,2022-07-28T21:30:00Z,07/28/22,23:30:00,https://tickets.kinoamdach.at/at/monsieur-claude-und-sein-grosses-fest-28-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Monsieur Claude und sein Grosses Fest
2022-07-29T18:00:00Z,07/29/22,20:00:00,2022-07-29T21:30:00Z,07/29/22,23:30:00,https://tickets.kinoamdach.at/at/thor-love-and-thunder-29-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Thor: Love and Thunder
2022-07-30T18:00:00Z,07/30/22,20:00:00,2022-07-30T21:30:00Z,07/30/22,23:30:00,https://tickets.kinoamdach.at/at/everything-everywhere-all-at-once-30-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Everything Everywhere All at Once
2022-07-31T18:00:00Z,07/31/22,20:00:00,2022-07-31T21:30:00Z,07/31/22,23:30:00,https://tickets.kinoamdach.at/at/rubikon-31-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Rubikon
2022-06-06T18:00:00Z,06/06/22,20:00:00,2022-06-06T21:30:00Z,06/06/22,23:30:00,https://tickets.kinoamdach.at/at/the-card-counter-presented-by-falter-06-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Card Counter
2022-06-07T18:00:00Z,06/07/22,20:00:00,2022-06-07T21:30:00Z,06/07/22,23:30:00,https://tickets.kinoamdach.at/at/the-man-who-sold-his-skin-07-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Man Who Sold His Skin
