dtstart,dtend,created,description,location,summary
2022-07-29T18:00:00Z,2022-07-29T21:30:00Z,2022-06-03T16:34:14Z,https://tickets.kinoamdach.at/at/thor-love-and-thunder-29-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Thor: Love and Thunder
2022-07-30T18:00:00Z,2022-07-30T21:30:00Z,2022-06-03T16:33:30Z,https://tickets.kinoamdach.at/at/everything-everywhere-all-at-once-30-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Everything Everywhere All at Once
2022-07-31T18:00:00Z,2022-07-31T21:30:00Z,2022-06-04T09:01:32Z,https://tickets.kinoamdach.at/at/rubikon-31-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Rubikon
2022-07-04T19:30:00Z,2022-07-04T20:30:00Z,2022-06-04T10:48:22Z,"Anlässlich seines 65. Geburtstages präsentiert das Film Festival auf dem Wiener Rathausplatz Falcos Konzert „Symphonic Live“: Am 12. Mai 1994 trat Falco erst- und einmalig in Begleitung eines 80-köpfigen Orchesters auf dem Domplatz von Wiener Neustadt auf – vor 10.000 Zuschauer*innen. Besondere Highlights dieses Ausnahmekonzertes sind Hits wie „Vienna Calling“, „Junge Römer“ und „The Sound Of Music.“",,Falco Symphonic Live
2022-07-04T20:31:00Z,2022-07-04T21:30:00Z,2022-06-04T10:48:22Z,"„A Reality Tour” war die letzte Welttournee von David Bowie, die im Oktober 2003 im Forum Kopenhagen begann und weiter nach Dänemark, durch Europa, Nordamerika, Asien und Australien führte. Das Repertoire umfasste seine größten Hits.",,David Bowie: A Reality Tour
2022-07-05T19:30:00Z,2022-07-05T21:30:00Z,2022-06-04T10:48:22Z,"„Pavarotti im Park“ wurde es genannt, dabei hätte Luciano Pavarottis 30. Jubiläumkonzert im Hyde Park genauso gut „Pavarotti in der Sintflut“ heißen können… Der Prinz und die Prinzessin von Wales, Premierminister John Major und seine Frau Norma, der Komponist Andrew Lloyd Webber, Schauspieler Michael Caine und ein auf rund 125.000 Personen geschätztes Publikum erschienen trotz unablässigen Regens, um den damals 55-jährigen italienischen Startenor eine Auswahl seiner Lieblingsarien singen zu hören – begleitet vom 82-köpfigen Philharmonia Orchestra und den 120 Stimmen des Philharmonia Chorus.",,Pavarotti: Live im Hyde Park
2022-07-06T19:30:00Z,2022-07-06T21:30:00Z,2022-06-04T10:48:22Z,"Die geheimnisvolle Prinzessin Turandot verlangt von jedem Mann, der ihr einen Heiratsantrag machen will, dass er drei Rätselfragen beantwortet. Als ein namenloser Prinz das diabolische Rätsel löst, stellt er der Prinzessin seinerseits ein Rätsel: Sie soll ihn bei seinem Namen nennen. Turandot verhängt über ihre Untertanen ein Schlafverbot, bis der Name des Fremden gefunden ist. „Keiner schlafe – Nessun dorma“ ist eine der beliebtesten Arien in der Opernliteratur. Puccinis glänzende und mysteriös raue Töne finden ihr ideales Echo in der zerklüfteten, steinigen Landschaft des Steinbruchs von St. Margarethen.",,Turandot
2022-07-07T19:30:00Z,2022-07-07T21:30:00Z,2022-06-04T10:48:22Z,"Am 7. und 8. November 2017 spielten Coldplay im ausverkauften Allianz Parque in São Paulo ihre größten Hits, darunter „Clocks”, „Paradise”, „Yellow”, „A Sky Full Of Stars”. Im Rahmen ihrer “A Head Full Of Dreams Tour” zeigen Coldplay, dass sie weltweit zu den top Pop Bands zählen.\n\nhttps://filmfestival-rathausplatz.at/event/coldplay-live-in-sao-paulo",,Coldplay: Live In São Paulo
2022-07-09T19:30:00Z,2022-07-09T21:30:00Z,2022-06-04T10:48:22Z,"B.B. King gehört mit rund zwanzig Auftritten zu Montreux häufigsten Besuchern. Charismatisch und lebhaft wie immer: Das Konzert aus dem Jahr 1993 kann zu seinen besten Konzerten überhaupt gezählt werden, es zeigt B.B. King in Topform – mit einer hervorragenden Band und einem ausgezeichneten Programm. Erneut wird er seinem Ruf als „King of the Blues” gerecht.\n\nhttps://filmfestival-rathausplatz.at/event/b-b-king-live-at-montreux",,B.B. King: Live At Montreux
2022-07-08T19:30:00Z,2022-07-08T21:30:00Z,2022-06-04T10:48:22Z,"Ein ganz besonderes Konzert im Sydney Opera House: Gemeinsam mit dem renommierten Sydney Symphony Orchestra spielen 2Cellos Filmmusik. Auf dem Programm stehen u.a. die berühmtesten Melodien aus „The Gladiator”, „Cinema Paradiso, „Breakfast At Tiffany s”, „Love Story”, „Braveheart”, „Schindler’s List”, „The Godfather”, „Lord Of The Rings”, „Rain Man”, „Titanic” und „Game Of Thrones”.\n \nhttps://filmfestival-rathausplatz.at/event/2cellos-im-sydney-opera-house",,2Cellos im Sydney Opera House
2022-07-10T19:15:00Z,2022-07-10T21:30:00Z,2022-06-04T10:48:22Z,"Jules Massenets Oper in vier Akten, „Werther“, basiert lose auf Goethes Briefroman „Die Leiden des jungen Werther“, der wiederum sowohl auf Fakten als auch auf Impressionen aus Goethes eigenem frühen Leben basiert.\n \nhttps://filmfestival-rathausplatz.at/event/werther",,Werther
2022-07-11T19:15:00Z,2022-07-11T21:30:00Z,2022-06-04T10:48:22Z,"Austropop trifft Klassik: Seiler und Speer präsentieren gemeinsam mit Christian Kolonovits ihre größten Hits im klassischen Gewand. Mit ihrer Hitsingle „Ham kummst“ landete das Duo 2015 einen Überraschungs-Hit. Seitdem zählen Seiler und Speer zu den Fixgrößen der heimischen Musikbranche. Mit Red Bull Symphonic stellen sie sich einer neuen Herausforderung: Austropop-Legende Christian Kolonovits arrangierte die größten Seiler-und-Speer-Hits neu. Zusammen mit der Band, dem Max Steiner Orchester und eindrucksvollen Gastauftritten liefern Seiler und Speer ein einzigartiges Konzert im Wiener Konzerthaus.\n \nhttps://filmfestival-rathausplatz.at/event/seiler-und-speer-red-bull-symphonic",,Seiler und Speer: Red Bull Symphonic
