"Cinema","Subject","Start ISO","Start Date","Start Time","End ISO","End Date","End Time","Description","Location"
"Filmfestival Rathausplatz","Martin Grubinger At Waldbühne 2021: American Rhythms","2022-08-24T18:30:00Z","2022-08-24",20:30:00,"2022-08-24T20:30:00Z","2022-08-24",22:30:00,"https://filmfestival-rathausplatz.at/event/martin-grubinger-at-waldbuehne-2021-american-rhythms-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Kurzfilme vom Vienna Shorts Kurzfilmfestival","2022-08-25T18:30:00Z","2022-08-25",20:30:00,"2022-08-25T20:30:00Z","2022-08-25",22:30:00,"https://filmfestival-rathausplatz.at/event/kurzfilme-vom-vienna-shorts-kurzfilmfestival-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Katy Perry: Prismatic World Tour","2022-08-26T18:30:00Z","2022-08-26",20:30:00,"2022-08-26T20:30:00Z","2022-08-26",22:30:00,"https://filmfestival-rathausplatz.at/event/katy-perry-prismatic-world-tour","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Max Raabe: Live In Berlin","2022-08-27T18:30:00Z","2022-08-27",20:30:00,"2022-08-27T20:30:00Z","2022-08-27",22:30:00,"https://filmfestival-rathausplatz.at/event/max-raabe-live-in-berlin","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Don Giovanni","2022-08-28T18:30:00Z","2022-08-28",20:30:00,"2022-08-28T20:30:00Z","2022-08-28",22:30:00,"https://filmfestival-rathausplatz.at/event/tina-live-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Herbert Blomstedt und Martha Argerich in Luzern: Beethoven","2022-08-29T18:30:00Z","2022-08-29",20:30:00,"2022-08-29T20:30:00Z","2022-08-29",22:30:00,"https://filmfestival-rathausplatz.at/event/don-giovanni","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","B.B. King: Live At Montreux","2022-08-30T18:30:00Z","2022-08-30",20:30:00,"2022-08-30T20:30:00Z","2022-08-30",22:30:00,"https://filmfestival-rathausplatz.at/event/herbert-blomstedt-und-martha-argerich-in-luzern-beethoven-3","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Badewannen-Ballett: Schwanensee","2022-08-31T18:30:00Z","2022-08-31",20:30:00,"2022-08-31T19:30:00Z","2022-08-31",21:30:00,"https://filmfestival-rathausplatz.at/event/glenn-gould-spielt-bach-goldberg-variationen-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Schwanensee","2022-08-31T18:33:00Z","2022-08-31",20:33:00,"2022-08-31T20:30:00Z","2022-08-31",22:30:00,"https://filmfestival-rathausplatz.at/event/b-b-king-live-at-montreux-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Coldplay: Live In São Paulo","2022-09-01T18:30:00Z","2022-09-01",20:30:00,"2022-09-01T20:30:00Z","2022-09-01",22:30:00,"https://filmfestival-rathausplatz.at/event/badewannen-ballett-schwanensee-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
